<<<<<<< HEAD
²£«~¥N¸¹,¼tµP,«~¦W,¸Ô²Ó,³æ»ù,Åé¿n,­«¶q,ºØÃş½s¸¹,ºØÃş
1-1,¥x¿},¨F©Ôªo,600ml/²~,43,1176,470,A1,ªo
1-2,¥x¿},¸ªªáªo,1000ml/²~,99,1664,406,A1,ªo
1-3,®õ¤s ,¯S¯Å¦n²z°·±d½Õ©Mªo,600ml,50,904.75,484,A1,ªo
1-4,®õ¤s ,°·±d¦n²z¥Ñ¸ªªáªo,1200ml,189,1785,260,A1,ªo
1-5,²Î¤@,ºöÄR°·±dªo,652ml/²~,199,881.25,357,A1,ªo
1-6,²Î¤@,¤j¨§¨F©Ôªo,760ml/²~,77,1147.5,349,A1,ªo
1-7,ºÖ¹Ø,¨F©Ôªo,500ml,59,1176,496,A1,ªo
1-8,ºû¸q,¾ñÆVªo,500ml,219,954,489,A1,ªo
1-9,ºû¸q,¾ñÆVªo,1000ml,139,1728,374,A1,ªo
2-1,¤¤¿³,Àn¥İ¦Ì,1.5kg/¥],135,1530,1500,B1,¦Ì
2-2,¤¤¿³,¶V¤§¦Ì,1.5kg/¥],135,1530,1500,B1,¦Ì
2-3,¤¤¿³,¥~¾P¤é¥»¤§¦Ì,1.5kg/¥],159,1530,1500,B1,¦Ì
2-4,¤¤¿³,¹Ø¥q¦Ì,1.5kg/¥],155,2070,1500,B1,¦Ì
2-5,¤¤¿³,¥~¾P¤é¥»¤§¦Ì,3kg/¥],155,2944,3000,B1,¦Ì
2-6,¤¤¿³,Ãö¤sâB³ù¦Ì,3kg/¥],189,2904,3000,B1,¦Ì
2-7,¤¤¿³,¬Ó®aâB³ù¦Ì,3kg/¥],165,2904,3000,B1,¦Ì
2-8,¤Ñ¥Í¦n¦Ì,¤Ñ¥Í¦n¦Ì,1.5kg/¥],99,1458,1500,B1,¦Ì
2-9,¤Ñ¥Í¦n¦Ì,ÂA¬¡¥Õ¦Ì,1.5kg/¥],129,1458,1500,B1,¦Ì
2-10,¤Ñ¥Í¦n¦Ì,¤ë¤§¹Ø¥q¦Ì,1.8kg/¥],99,1596,1800,B1,¦Ì
2-11,¤Ñ¥Í¦n¦Ì,¤ë¤§¦n¦Ì,1.8kg/¥],99,1596,1800,B1,¦Ì
2-12,¤Ñ¥Í¦n¦Ì,ªF³¡¦Ì²£,2.4kg/¥],149,2520,2400,B1,¦Ì
2-13,¤Ñ¥Í¦n¦Ì,ªáªF¤§¦Ì,2.4kg/¥],149,2520,2400,B1,¦Ì
2-14,¤Ñ¥Í¦n¦Ì,´I¨½¦Ì,2.4kg/¥],149,2520,2400,B1,¦Ì
2-15,¤Ñ¥Í¦n¦Ì,¹Ø¥q¦Ì,3kg/¥],179,2277,3000,B1,¦Ì
2-16,¤Ñ¥Í¦n¦Ì,¦n­¹ªº¨ı,3kg/¥],169,2277,3000,B1,¦Ì
2-17,¤Ñ¥Í¦n¦Ì,¤ë¤§¦Ì,3kg/¥],184,2277,3000,B1,¦Ì
2-18,¤Ñ¥Í¦n¦Ì,´I¨½5¸¹¦Ì,3kg/¥],155,2277,3000,B1,¦Ì
2-19,¤Ñ¥Í¦n¦Ì,´I¨½¤E¸¹¦Ì,3kg/¥],189,2277,3000,B1,¦Ì
2-20,¤T¦n,¬K¯Ñ¬ü¥Õ¦Ì,1.5kg/¥],84,1620,1500,B1,¦Ì
2-21,¤T¦n,®L¯ĞÂA¥Õ¦Ì,1.5kg/¥],84,1620,1500,B1,¦Ì
2-22,¤T¦n,¤T¦n¦Ì,2kg,119,1890,2000,B1,¦Ì
2-23,¤T¦n,¥x±ğ¤E¸¹¦Ì,2kg/¥],139,1800,2000,B1,¦Ì
2-24,¤T¦n,¯À´¸¦Ì,2.5kg/¥],169,2816,2500,B1,¦Ì
2-25,¤T¦n,¦®¦Ì,2.5kg/¥],199,2816,2500,B1,¦Ì
2-26,¤T¦n,¥xÆWªøÂA¦Ì,2.7kg/¥],189,2816,2700,B1,¦Ì
2-27,¤T¦n,15«×C¯q¥ş­»¦Ì,3kg/¥],219,2904,3000,B1,¦Ì
2-28,¤T¦n,¥xÆW¯S¯Å¦Ì,3kg/¥],169,2904,3000,B1,¦Ì
2-29,¤T¦n,ªøªÄ¹Ø¥q¦Ì,3kg/¥],145,2904,3000,B1,¦Ì
2-30,¤T¦n,¦b¦a¦n¦Ì,3kg/¥],189,2904,3000,B1,¦Ì
2-31,¤T¦n,¥x±ğ¤E¸¹¦Ì,3kg/¥],205,2904,3000,B1,¦Ì
2-32,¤T¦n,¥xÆW¹Ø¥q¦Ì,3kg/¥],159,2904,3000,B1,¦Ì
2-33,¤T¦n,¤ÑµM¦n¦Ì,3kg/¥],169,2904,3000,B1,¦Ì
2-34,¤T¦n,¹Ø¥q¦Ì,3kg/¥],145,2904,3000,B1,¦Ì
2-35,¬Ó®aâB³ù,âB³ù¥xªF¦Ì,1.5kg/¥],129,2070,1500,B1,¦Ì
2-36,¬Ó®aâB³ù,ªF¶m¥¿ªF¦n¦Ì,2.4kg/¥],149,2079,2400,B1,¦Ì
2-37,¬Ó®aâB³ù,ªF¶mÁa¨¦¦Ì,2.4kg/¥],149,2079,2400,B1,¦Ì
2-38,¬Ó®aâB³ù,¶Q±Úºë¦Ì,2.7kg/¥] CNS¤Tµ¥¦Ì,329,2772,2700,B1,¦Ì
2-39,´IÂ×,­»¦Ì,1.8kg/¥],159,1566,1800,B1,¦Ì
2-40,»È¤t,¦³¾÷¥Õ¦Ì,1.5kg/¥],219,1900,1500,B1,¦Ì
2-41,¥©°ü,·sÂA¦Ì,3kg/¥],169,2772,3000,B1,¦Ì
2-42,¥©°ü,ªøÂA¦Ì,3kg/¥],189,2772,3000,B1,¦Ì
2-43,¤T¦n,¤Q¤»½\¦Ì,1.2kg/¥],135,1155,1200,B1,¦Ì
2-44,¤T¦n,¬î¦¬§K®ûÁW¦Ì,1.5kg/¥],84,1620,1500,B1,¦Ì
2-45,¤T¦n,Àn¥ĞªøªÄÁW¦Ì,1.5kg/¥],152,1890,1500,B1,¦Ì
2-46,¤T¦n,Àn¥Ğ­FªŞÁW¦Ì,1.5kg/¥],165,1890,1500,B1,¦Ì
2-47,¤T¦n,¾i¥Í¤­½\¦Ì,1.8kg/¥],145,1890,1800,B1,¦Ì
2-48,¤T¦n,¥x±ğ¤E¸¹§K®ûÁW¦Ì,2kg/¥],129,2160,2000,B1,¦Ì
2-49,¤T¦n,ªøªÄÁW¦Ì,3kg/¥],169,2754,3000,B1,¦Ì
2-50,¤T¦n,­FªŞÁW¦Ì,3kg/¥],169,2754,3000,B1,¦Ì
2-51,¤Ñ¥Í¦n¦Ì,­FªŞÁW¦Ì,1.5kg/¥],99,2025,1500,B1,¦Ì
2-52,¤Ñ¥Í¦n¦Ì,ÂA¬¡ÁW¦Ì,1.5kg/¥],129,1458,1500,B1,¦Ì
2-53,¤Ñ¥Í¦n¦Ì,¤ë¤§ÁW¦Ì,1.8kg/¥],99,1596,1800,B1,¦Ì
2-54,¤Ñ¥Í¦n¦Ì,¾i¥ÍÁW¦Ì,2kg/¥],149,2250,2000,B1,¦Ì
