序,產品代號,品名,單價,體積,廠牌,長,寬,高,種類,葷素,重量(g),"輸入格式(序,產品代碼+品名,單價,體積,種類)"
1,A1-1,《台糖》沙拉油(600ml/瓶),43,1176,台糖,7,7,24,油,素食,596,1_A1-1《台糖》沙拉油(600ml/瓶)_43_1176_油
2,A1-2,《台糖》葵花油(1000ml/瓶),99,1664,台糖,8,8,26,油,素食,1432,2_A1-2《台糖》葵花油(1000ml/瓶)_99_1664_油
8,A1-8,《維義》橄欖油(500ml),219,954,維義,6,6,26.5,油,素食,500,8_A1-8《維義》橄欖油(500ml)_219_954_油
9,A1-9,《維義》橄欖油(1000ml),139,1728,維義,8,8,27,油,素食,1432,9_A1-9《維義》橄欖油(1000ml)_139_1728_油
10,B1-1,《中興》鴨禾米(1.5kg/包),135,1530,中興,15,17,6,米,素食,1500,10_B1-1《中興》鴨禾米(1.5kg/包)_135_1530_米
11,B1-2,《中興》越之米(1.5kg/包),135,1530,中興,15,17,6,米,素食,1500,11_B1-2《中興》越之米(1.5kg/包)_135_1530_米
12,B1-3,《中興》外銷日本之米(1.5kg/包),159,1530,中興,15,17,6,米,素食,1500,12_B1-3《中興》外銷日本之米(1.5kg/包)_159_1530_米
48,B1-39,《富豐》香米(1.8kg/包),159,1566,富豐,18,3,29,米,素食,1800,48_B1-39《富豐》香米(1.8kg/包)_159_1566_米
55,B1-46,《三好》鴨田胚芽糙米(1.5kg/包),165,1890,三好,15,6,21,米,素食,1500,55_B1-46《三好》鴨田胚芽糙米(1.5kg/包)_165_1890_米
57,B1-48,《三好》台梗九號免浸糙米(2kg/包),129,2160,三好,15,9,16,米,素食,2000,57_B1-48《三好》台梗九號免浸糙米(2kg/包)_129_2160_米
73,B1-64,《皇家榖堡》糙米(2.5kg/包),149,1600,皇家榖堡,16,5,20,米,素食,2500,73_B1-64《皇家榖堡》糙米(2.5kg/包)_149_1600_米
74,C1-1,《丸莊》松級蔭油(500ml/瓶),105,990,丸莊,6,6,27.5,醬油,素食,908,74_C1-1《丸莊》松級蔭油(500ml/瓶)_105_990_醬油
75,C1-2,《丸莊》極品黑豆蔭油清(300ml/瓶),79,648,丸莊,6,6,18,醬油,素食,612,75_C1-2《丸莊》極品黑豆蔭油清(300ml/瓶)_79_648_醬油
78,C1-5,《大同》味霖純釀醬油(400ml),109,990,大同,6,6,27.5,醬油,素食,808,78_C1-5《大同》味霖純釀醬油(400ml)_109_990_醬油
111,C1-38,《萬家香》大吟釀蠔油(1000ml),65,1878.5,萬家香,8.5,8.5,26,醬油,葷食,1273,111_C1-38《萬家香》大吟釀蠔油(1000ml)_65_1878.5_醬油
114,C1-41,《萬家香》純釀造油膏(360g/瓶),35,1237.5,萬家香,7.5,7.5,22,醬油,素食,360,114_C1-41《萬家香》純釀造油膏(360g/瓶)_35_1237.5_醬油
115,C1-42,《萬家香》壺底油(1000ml),58,1878.5,萬家香,8.5,8.5,26,醬油,素食,1270,115_C1-42《萬家香》壺底油(1000ml)_58_1878.5_醬油
117,D1-2,特級紅標米酒,38,792,公賣局,6,6,22,米酒,素食,554,117_D1-2特級紅標米酒_38_792_米酒
118,D1-3,紅標米酒水,47,1421,公賣局,7,7,29,米酒,素食,1083,118_D1-3紅標米酒水_47_1421_米酒
119,D1-4,特級紅標純米酒,45,792,公賣局,6,6,22,米酒,素食,553,119_D1-4特級紅標純米酒_45_792_米酒
122,D1-7,春雨料理米酒,24,1127,國慶,7,7,23,米酒,素食,600,122_D1-7春雨料理米酒_24_1127_米酒
123,E1-1,《台糖》 二號砂糖 (1kg/包),36,504,台糖,9,28,2,糖,素食,1000,123_E1-1《台糖》 二號砂糖 (1kg/包)_36_504_糖
124,E1-2,《台糖》 貳號砂糖 (500g/包),23,633.6,台糖,22,14.4,2,糖,素食,500,124_E1-2《台糖》 貳號砂糖 (500g/包)_23_633.6_糖
125,F1-1,《台鹽》健康減鈉鹽(300g/罐),55,567,台鹽,9,9,7,鹽,素食,300,125_F1-1《台鹽》健康減鈉鹽(300g/罐)_55_567_鹽
132,F1-8,《台鹽》特級精鹽(1000g/包),19,884,台鹽,13,4,17,鹽,素食,1000,132_F1-8《台鹽》特級精鹽(1000g/包)_19_884_鹽
143,F1-19,《統一生機》天然海鹽(300g/罐),55,607.5,統一生機,9,9,7.5,鹽,素食,300,143_F1-19《統一生機》天然海鹽(300g/罐)_55_607.5_鹽
144,F1-20,《家輝》喜馬拉雅山有機岩鹽(100g/罐),57,182.25,家輝,4.5,4.5,9,鹽,素食,100,144_F1-20《家輝》喜馬拉雅山有機岩鹽(100g/罐)_57_182.25_鹽
145,G1-1,《日正》台灣媽祖調和米粉(300g),30,2464,日正,16,7,22,冬粉與炊粉,素食,300,145_G1-1《日正》台灣媽祖調和米粉(300g)_30_2464_冬粉與炊粉
148,G1-4,《虎牌》炊粉(350g),35,2898,虎牌,18,7,23,冬粉與炊粉,素食,350,148_G1-4《虎牌》炊粉(350g)_35_2898_冬粉與炊粉
158,G1-14,《龍口》新竹炊粉(400g),59,3240,龍口,15,8,27,冬粉與炊粉,素食,400,158_G1-14《龍口》新竹炊粉(400g)_59_3240_冬粉與炊粉
159,G2-1,《正逢》在家吃麵-拉麵(200g/包),15,215.25,正逢,10.5,1,20.5,麵條,素食,200,159_G2-1《正逢》在家吃麵-拉麵(200g/包)_15_215.25_麵條
163,G2-5,《正逢》在家吃麵北方細麵(300g/包),22,399,正逢,9.5,2,21,麵條,素食,300,163_G2-5《正逢》在家吃麵北方細麵(300g/包)_22_399_麵條
167,G2-9,《五木》烏龍麵(300g/包),25,440,五木,22,10,2,麵條,素食,300,167_G2-9《五木》烏龍麵(300g/包)_25_440_麵條
174,G2-16,《統一》好勁道-寬版大麵(300g/包),23,440,統一,22,10,2,麵條,素食,300,174_G2-16《統一》好勁道-寬版大麵(300g/包)_23_440_麵條
178,H1-1,《3點1刻》日月潭奶茶(20g*15包/袋),139,4155.3,3點1刻,24.3,6,28.5,沖泡飲,素食,300,178_H1-1《3點1刻》日月潭奶茶(20g*15包/袋)_139_4155.3_沖泡飲
186,H1-9,《T世家》玄米抹茶拿鐵(18g*18入),169,3960,T世家,24,5,33,沖泡飲,素食,324,186_H1-9《T世家》玄米抹茶拿鐵(18g*18入)_169_3960_沖泡飲
248,H1-71,《廣吉》減糖冰糖杏仁(30g*10包/袋),71,4174.5,廣吉,23,5.5,33,沖泡飲,素食,300,248_H1-71《廣吉》減糖冰糖杏仁(30g*10包/袋)_71_4174.5_沖泡飲
255,H1-78,《薌園》黑五穀豆漿(25gx12包/袋),89,3509,薌園,22,5.5,29,沖泡飲,素食,300,255_H1-78《薌園》黑五穀豆漿(25gx12包/袋)_89_3509_沖泡飲
256,H1-79,《薌園》蓮藕芝麻糊(30g*10包/袋),89,3509,薌園,22,5.5,29,沖泡飲,素食,300,256_H1-79《薌園》蓮藕芝麻糊(30g*10包/袋)_89_3509_沖泡飲
257,I1-1,《愛之味》鮮味脆瓜(170g瓶),30,338,愛之味,6.5,6.5,8,罐頭_瓜,素食,170,257_I1-1《愛之味》鮮味脆瓜(170g瓶)_30_338_罐頭_瓜
261,I1-5,《大茂》黑瓜(170g瓶),29,338,大茂,6.5,6.5,8,罐頭_瓜,素食,360,261_I1-5《大茂》黑瓜(170g瓶)_29_338_罐頭_瓜
267,I1-11,《金蘭》香菇素瓜仔肉(370g瓶),45,549.25,金蘭,6.5,6.5,13,罐頭_瓜,素食,370,267_I1-11《金蘭》香菇素瓜仔肉(370g瓶)_45_549.25_罐頭_瓜
270,I1-14,《飯友》素瓜仔肉(150g罐),26,289,飯友,8.5,8.5,4,罐頭_瓜,素食,150,270_I1-14《飯友》素瓜仔肉(150g罐)_26_289_罐頭_瓜
272,I2-2,《同榮》紅燒鰻(一般蓋)(100g),32,220.5,同榮,10.5,7,3,罐頭_魚,葷食,100,272_I2-2《同榮》紅燒鰻(一般蓋)(100g)_32_220.5_罐頭_魚
280,I2-10,《東和》特製豆鼓紅燒鰻(100g),39,225,東和,10,7.5,3,罐頭_魚,葷食,100,280_I2-10《東和》特製豆鼓紅燒鰻(100g)_39_225_罐頭_魚
292,I2-22,《遠洋》玉米鮪魚三明治(110g),31,196.88,遠洋,7.5,7.5,3.5,罐頭_魚,葷食,110,292_I2-22《遠洋》玉米鮪魚三明治(110g)_31_196.875_罐頭_魚
304,I2-34,《東和》好媽媽鮮撈鮪魚片(150g),48,196.88,東和,7.5,7.5,3.5,罐頭_魚,葷食,150,304_I2-34《東和》好媽媽鮮撈鮪魚片(150g)_48_196.875_罐頭_魚
305,I2-35,《東和》好媽媽纖麗鮪魚片(150g),48,196.88,東和,7.5,7.5,3.5,罐頭_魚,葷食,150,305_I2-35《東和》好媽媽纖麗鮪魚片(150g)_48_196.875_罐頭_魚
306,I3-1,《大茂》幼筍(170g瓶),26,269.5,大茂,7,7,5.5,罐頭_筍菇,素食,170,306_I3-1《大茂》幼筍(170g瓶)_26_269.5_罐頭_筍菇
309,I3-4,《金蘭》筍茸(340g瓶),45,549.25,金蘭,6.5,6.5,13,罐頭_筍菇,素食,340,309_I3-4《金蘭》筍茸(340g瓶)_45_549.25_罐頭_筍菇
312,I3-7,《飯友》草菇(425g罐),30,646.88,飯友,7.5,7.5,11.5,罐頭_筍菇,素食,425,312_I3-7《飯友》草菇(425g罐)_30_646.875_罐頭_筍菇
314,I4-2,《台糖》安心豚豬肉醬-香辣(160g*3罐/組),128,867,台糖,25.5,8.5,4,罐頭_肉醬_多入裝,葷食,480,314_I4-2《台糖》安心豚豬肉醬-香辣(160g*3罐/組)_128_867_罐頭_肉醬_多入裝
319,I4-7,《遠洋》嘉義雞肉飯料(110g*3罐/組),93,590.63,遠洋,22.5,7.5,3.5,罐頭_肉醬_多入裝,葷食,330,319_I4-7《遠洋》嘉義雞肉飯料(110g*3罐/組)_93_590.625_罐頭_肉醬_多入裝
320,I4-8,《廣達香》香辣肉醬(160g*3罐/組),111,843.75,廣達香,22.5,7.5,5,罐頭_肉醬_多入裝,葷食,480,320_I4-8《廣達香》香辣肉醬(160g*3罐/組)_111_843.75_罐頭_肉醬_多入裝
321,I5-1,《大茂》大土豆麵筋(170g*3罐),69,808.5,大茂,21,7,5.5,罐頭_麵筋_多入裝,素食,510,321_I5-1《大茂》大土豆麵筋(170g*3罐)_69_808.5_罐頭_麵筋_多入裝
323,I5-3,《金蘭》香菇麵筋(380g*2 瓶/組),97,1098.5,金蘭,13,6.5,13,罐頭_麵筋_多入裝,素食,760,323_I5-3《金蘭》香菇麵筋(380g*2 瓶/組)_97_1098.5_罐頭_麵筋_多入裝
328,I5-8,《飯友》飯友開味三寶(150g*3罐/組),70,867,飯友,25.5,8.5,4,罐頭_麵筋_多入裝,素食,450,328_I5-8《飯友》飯友開味三寶(150g*3罐/組)_70_867_罐頭_麵筋_多入裝
329,I5-9,《愛之味》土豆麵筋(170g*3罐/組),95,1176,愛之味,21,7,8,罐頭_麵筋_多入裝,素食,510,329_I5-9《愛之味》土豆麵筋(170g*3罐/組)_95_1176_罐頭_麵筋_多入裝
330,J1-1,《大西洋》蘋果西打(2000ml罐),40,3569.5,大西洋,11,11,29.5,飲料_汽水_家庭號,素食,2000,330_J1-1《大西洋》蘋果西打(2000ml罐)_40_3569.5_飲料_汽水_家庭號
331,J1-2,《可口可樂》原味(2000ml罐),41,3000,可口可樂,10,10,30,飲料_汽水_家庭號,素食,2000,331_J1-2《可口可樂》原味(2000ml罐)_41_3000_飲料_汽水_家庭號
332,J1-3,《可口可樂》Zero(2000ml罐),41,3000,可口可樂,10,10,30,飲料_汽水_家庭號,素食,2000,332_J1-3《可口可樂》Zero(2000ml罐)_41_3000_飲料_汽水_家庭號
339,J1-10,《黑松》沙士-加鹽(2000ml罐),42,3569.5,黑松,11,11,29.5,飲料_汽水_家庭號,素食,2000,339_J1-10《黑松》沙士-加鹽(2000ml罐)_42_3569.5_飲料_汽水_家庭號
