item,i_id
A1-1,11001
A1-2,11002
A1-3,11003
A1-4,11004
A1-5,11005
A1-6,11006
A1-7,11007
A1-8,11008
A1-9,11009
B1-1,21001
B1-2,21002
B1-3,21003
B1-4,21004
B1-5,21005
B1-6,21006
B1-7,21007
B1-8,21008
B1-9,21009
B1-10,21010
B1-11,21011
B1-12,21012
B1-13,21013
B1-14,21014
B1-15,21015
B1-16,21016
B1-17,21017
B1-18,21018
B1-19,21019
B1-20,21020
B1-21,21021
B1-22,21022
B1-23,21023
B1-24,21024
B1-25,21025
B1-26,21026
B1-27,21027
B1-28,21028
B1-29,21029
B1-30,21030
B1-31,21031
B1-32,21032
B1-33,21033
B1-34,21034
B1-35,21035
B1-36,21036
B1-37,21037
B1-38,21038
B1-39,21039
B1-40,21040
B1-41,21041
B1-42,21042
B1-43,21043
B1-44,21044
B1-45,21045
B1-46,21046
B1-47,21047
B1-48,21048
B1-49,21049
B1-50,21050
B1-51,21051
B1-52,21052
B1-53,21053
B1-54,21054
B1-55,21055
B1-56,21056
B1-57,21057
B1-58,21058
B1-59,21059
B1-60,21060
B1-61,21061
B1-62,21062
B1-63,21063
B1-64,21064
C1-1,31001
C1-2,31002
C1-3,31003
C1-4,31004
C1-5,31005
C1-6,31006
C1-7,31007
C1-8,31008
C1-9,31009
C1-10,31010
C1-11,31011
C1-12,31012
C1-13,31013
C1-14,31014
C1-15,31015
C1-16,31016
C1-17,31017
C1-18,31018
C1-19,31019
C1-20,31020
C1-21,31021
C1-22,31022
C1-23,31023
C1-24,31024
C1-25,31025
C1-26,31026
C1-27,31027
C1-28,31028
C1-29,31029
C1-30,31030
C1-31,31031
C1-32,31032
C1-33,31033
C1-34,31034
C1-35,31035
C1-36,31036
C1-37,31037
C1-38,31038
C1-39,31039
C1-40,31040
C1-41,31041
C1-42,31042
D1-1,41001
D1-2,41002
D1-3,41003
D1-4,41004
D1-5,41005
D1-6,41006
D1-7,41007
E1-1,51001
E1-2,51002
F1-1,61001
F1-2,61002
F1-3,61003
F1-4,61004
F1-5,61005
F1-6,61006
F1-7,61007
F1-8,61008
F1-9,61009
F1-10,61010
F1-11,61011
F1-12,61012
F1-13,61013
F1-14,61014
F1-15,61015
F1-16,61016
F1-17,61017
F1-18,61018
F1-19,61019
F1-20,61020
G1-1,71001
G1-2,71002
G1-3,71003
G1-4,71004
G1-5,71005
G1-6,71006
G1-7,71007
G1-8,71008
G1-9,71009
G1-10,71010
G1-11,71011
G1-12,71012
G1-13,71013
G1-14,71014
G2-1,72001
G2-2,72002
G2-3,72003
G2-4,72004
G2-5,72005
G2-6,72006
G2-7,72007
G2-8,72008
G2-9,72009
G2-10,72010
G2-11,72011
G2-12,72012
G2-13,72013
G2-14,72014
G2-15,72015
G2-16,72016
G2-17,72017
G2-18,72018
G2-19,72019
H1-1,81001
H1-2,81002
H1-3,81003
H1-4,81004
H1-5,81005
H1-6,81006
H1-7,81007
H1-8,81008
H1-9,81009
H1-10,81010
H1-11,81011
H1-12,81012
H1-13,81013
H1-14,81014
H1-15,81015
H1-16,81016
H1-17,81017
H1-18,81018
H1-19,81019
H1-20,81020
H1-21,81021
H1-22,81022
H1-23,81023
H1-24,81024
H1-25,81025
H1-26,81026
H1-27,81027
H1-28,81028
H1-29,81029
H1-30,81030
H1-31,81031
H1-32,81032
H1-33,81033
H1-34,81034
H1-35,81035
H1-36,81036
H1-37,81037
H1-38,81038
H1-39,81039
H1-40,81040
H1-41,81041
H1-42,81042
H1-43,81043
H1-44,81044
H1-45,81045
H1-46,81046
H1-47,81047
H1-48,81048
H1-49,81049
H1-50,81050
H1-51,81051
H1-52,81052
H1-53,81053
H1-54,81054
H1-55,81055
H1-56,81056
H1-57,81057
H1-58,81058
H1-59,81059
H1-60,81060
H1-61,81061
H1-62,81062
H1-63,81063
H1-64,81064
H1-65,81065
H1-66,81066
H1-67,81067
H1-68,81068
H1-69,81069
H1-70,81070
H1-71,81071
H1-72,81072
H1-73,81073
H1-74,81074
H1-75,81075
H1-76,81076
H1-77,81077
H1-78,81078
H1-79,81079
I1-1,91001
I1-2,91002
I1-3,91003
I1-4,91004
I1-5,91005
I1-6,91006
I1-7,91007
I1-8,91008
I1-9,91009
I1-10,91010
I1-11,91011
