序,產品代號,品名,單價,體積,廠牌,長,寬,高,種類,葷素,重量(g),"輸入格式(序,產品代碼+品名,單價,體積,種類)"
1,A1-1,《台糖》沙拉油(600ml/瓶),43,1176.00 ,台糖,7.0 ,7.0 ,24.0 ,油,素食,596,1_A1-1《台糖》沙拉油(600ml/瓶)_43_1176_油
2,A1-2,《台糖》葵花油(1000ml/瓶),99,1664.00 ,台糖,8.0 ,8.0 ,26.0 ,油,素食,1432,2_A1-2《台糖》葵花油(1000ml/瓶)_99_1664_油
3,A1-3,《泰山 》特級好理健康調和油(600ml),50,904.75 ,泰山,7.0 ,5.5 ,23.5 ,油,素食,596,3_A1-3《泰山 》特級好理健康調和油(600ml)_50_904.75_油
4,A1-4,《泰山 》健康好理由葵花油(1200ml),189,1785.00 ,泰山,10.0 ,7.0 ,25.5 ,油,素食,1616,4_A1-4《泰山 》健康好理由葵花油(1200ml)_189_1785_油
5,A1-5,《統一》綺麗健康油(652ml/瓶),199,881.25 ,統一,7.5 ,5.0 ,23.5 ,油,素食,600,5_A1-5《統一》綺麗健康油(652ml/瓶)_199_881.25_油
6,A1-6,《統一》大豆沙拉油(760ml/瓶),77,1147.50 ,統一,7.5 ,6.0 ,25.5 ,油,素食,760,6_A1-6《統一》大豆沙拉油(760ml/瓶)_77_1147.5_油
7,A1-7,《福壽》沙拉油(500ml),59,1176.00 ,福壽,7.0 ,7.0 ,24.0 ,油,素食,500,7_A1-7《福壽》沙拉油(500ml)_59_1176_油
8,A1-8,《維義》橄欖油(500ml),219,954.00 ,維義,6.0 ,6.0 ,26.5 ,油,素食,500,8_A1-8《維義》橄欖油(500ml)_219_954_油
9,A1-9,《維義》橄欖油(1000ml),139,1728.00 ,維義,8.0 ,8.0 ,27.0 ,油,素食,1432,9_A1-9《維義》橄欖油(1000ml)_139_1728_油
10,B1-1,《中興》鴨禾米(1.5kg/包),135,1530.00 ,中興,15.0 ,17.0 ,6.0 ,米,素食,1500,10_B1-1《中興》鴨禾米(1.5kg/包)_135_1530_米
11,B1-2,《中興》越之米(1.5kg/包),135,1530.00 ,中興,15.0 ,17.0 ,6.0 ,米,素食,1500,11_B1-2《中興》越之米(1.5kg/包)_135_1530_米
12,B1-3,《中興》外銷日本之米(1.5kg/包),159,1530.00 ,中興,15.0 ,17.0 ,6.0 ,米,素食,1500,12_B1-3《中興》外銷日本之米(1.5kg/包)_159_1530_米
13,B1-4,《中興》壽司米(1.5kg/包),155,2070.00 ,中興,23.0 ,3.0 ,30.0 ,米,素食,1500,13_B1-4《中興》壽司米(1.5kg/包)_155_2070_米
14,B1-5,《中興》外銷日本之米(3kg/包),155,2944.00 ,中興,32.0 ,23.0 ,4.0 ,米,素食,3000,14_B1-5《中興》外銷日本之米(3kg/包)_155_2944_米
15,B1-6,《中興》關山榖堡米(3kg/包),189,2904.00 ,中興,33.0 ,22.0 ,4.0 ,米,素食,3000,15_B1-6《中興》關山榖堡米(3kg/包)_189_2904_米
16,B1-7,《中興》皇家榖堡米(3kg/包),165,2904.00 ,中興,33.0 ,22.0 ,4.0 ,米,素食,3000,16_B1-7《中興》皇家榖堡米(3kg/包)_165_2904_米
17,B1-8,《天生好米》天生好米(1.5kg/包),99,1458.00 ,天生好米,18.0 ,3.0 ,27.0 ,米,素食,1500,17_B1-8《天生好米》天生好米(1.5kg/包)_99_1458_米
18,B1-9,《天生好米》鮮活白米(1.5kg/包),129,1458.00 ,天生好米,18.0 ,3.0 ,27.0 ,米,素食,1500,18_B1-9《天生好米》鮮活白米(1.5kg/包)_129_1458_米
19,B1-10,《天生好米》月之壽司米(1.8kg/包),99,1596.00 ,天生好米,19.0 ,3.0 ,28.0 ,米,素食,1800,19_B1-10《天生好米》月之壽司米(1.8kg/包)_99_1596_米
20,B1-11,《天生好米》月之好米(1.8kg/包),99,1596.00 ,天生好米,19.0 ,3.0 ,28.0 ,米,素食,1800,20_B1-11《天生好米》月之好米(1.8kg/包)_99_1596_米
21,B1-12,《天生好米》東部米產(2.4kg/包),149,2520.00 ,天生好米,21.0 ,4.0 ,30.0 ,米,素食,2400,21_B1-12《天生好米》東部米產(2.4kg/包)_149_2520_米
22,B1-13,《天生好米》花東之米(2.4kg/包),149,2520.00 ,天生好米,21.0 ,4.0 ,30.0 ,米,素食,2400,22_B1-13《天生好米》花東之米(2.4kg/包)_149_2520_米
23,B1-14,《天生好米》富里米(2.4kg/包),149,2520.00 ,天生好米,21.0 ,4.0 ,30.0 ,米,素食,2400,23_B1-14《天生好米》富里米(2.4kg/包)_149_2520_米
24,B1-15,《天生好米》壽司米(3kg/包),179,2277.00 ,天生好米,23.0 ,3.0 ,33.0 ,米,素食,3000,24_B1-15《天生好米》壽司米(3kg/包)_179_2277_米
25,B1-16,《天生好米》好食的味(3kg/包),169,2277.00 ,天生好米,23.0 ,3.0 ,33.0 ,米,素食,3000,25_B1-16《天生好米》好食的味(3kg/包)_169_2277_米
26,B1-17,《天生好米》月之米(3kg/包),184,2277.00 ,天生好米,23.0 ,3.0 ,33.0 ,米,素食,3000,26_B1-17《天生好米》月之米(3kg/包)_184_2277_米
27,B1-18,《天生好米》富里5號米(3kg/包),155,2277.00 ,天生好米,23.0 ,3.0 ,33.0 ,米,素食,3000,27_B1-18《天生好米》富里5號米(3kg/包)_155_2277_米
28,B1-19,《天生好米》富里九號米(3kg/包),189,2277.00 ,天生好米,23.0 ,3.0 ,33.0 ,米,素食,3000,28_B1-19《天生好米》富里九號米(3kg/包)_189_2277_米
29,B1-20,《三好》春耕美白米(1.5kg/包),84,1620.00 ,三好,30.0 ,3.0 ,18.0 ,米,素食,1500,29_B1-20《三好》春耕美白米(1.5kg/包)_84_1620_米
30,B1-21,《三好》夏耘鮮白米(1.5kg/包),84,1620.00 ,三好,30.0 ,3.0 ,18.0 ,米,素食,1500,30_B1-21《三好》夏耘鮮白米(1.5kg/包)_84_1620_米
31,B1-22,《三好》三好米(2kg),119,1890.00 ,三好,15.0 ,6.0 ,21.0 ,米,素食,2000,31_B1-22《三好》三好米(2kg)_119_1890_米
32,B1-23,《三好》台梗九號米(2kg/包),139,1800.00 ,三好,15.0 ,15.0 ,8.0 ,米,素食,2000,32_B1-23《三好》台梗九號米(2kg/包)_139_1800_米
33,B1-24,《三好》素晴米(2.5kg/包),169,2816.00 ,三好,22.0 ,4.0 ,32.0 ,米,素食,2500,33_B1-24《三好》素晴米(2.5kg/包)_169_2816_米
34,B1-25,《三好》旨米(2.5kg/包),199,2816.00 ,三好,22.0 ,4.0 ,32.0 ,米,素食,2500,34_B1-25《三好》旨米(2.5kg/包)_199_2816_米
35,B1-26,《三好》台灣長鮮米(2.7kg/包),189,2816.00 ,三好,22.0 ,4.0 ,32.0 ,米,素食,2700,35_B1-26《三好》台灣長鮮米(2.7kg/包)_189_2816_米
36,B1-27,《三好》15度C益全香米(3kg/包),219,2904.00 ,三好,22.0 ,4.0 ,33.0 ,米,素食,3000,36_B1-27《三好》15度C益全香米(3kg/包)_219_2904_米
37,B1-28,《三好》台灣特級米(3kg/包),169,2904.00 ,三好,22.0 ,4.0 ,33.0 ,米,素食,3000,37_B1-28《三好》台灣特級米(3kg/包)_169_2904_米
38,B1-29,《三好》長秈壽司米(3kg/包),145,2904.00 ,三好,22.0 ,4.0 ,33.0 ,米,素食,3000,38_B1-29《三好》長秈壽司米(3kg/包)_145_2904_米
39,B1-30,《三好》在地好米(3kg/包),189,2904.00 ,三好,22.0 ,4.0 ,33.0 ,米,素食,3000,39_B1-30《三好》在地好米(3kg/包)_189_2904_米
40,B1-31,《三好》台梗九號米(3kg/包),205,2904.00 ,三好,33.0 ,22.0 ,4.0 ,米,素食,3000,40_B1-31《三好》台梗九號米(3kg/包)_205_2904_米
41,B1-32,《三好》台灣壽司米(3kg/包),159,2904.00 ,三好,33.0 ,22.0 ,4.0 ,米,素食,3000,41_B1-32《三好》台灣壽司米(3kg/包)_159_2904_米
42,B1-33,《三好》天然好米(3kg/包),169,2904.00 ,三好,33.0 ,22.0 ,4.0 ,米,素食,3000,42_B1-33《三好》天然好米(3kg/包)_169_2904_米
43,B1-34,《三好》壽司米(3kg/包),145,2904.00 ,三好,33.0 ,22.0 ,4.0 ,米,素食,1500,43_B1-34《三好》壽司米(3kg/包)_145_2904_米
44,B1-35,《皇家榖堡》榖堡台東米(1.5kg/包),129,2070.00 ,皇家榖堡,23.0 ,3.0 ,30.0 ,米,素食,2400,44_B1-35《皇家榖堡》榖堡台東米(1.5kg/包)_129_2070_米
45,B1-36,《皇家榖堡》東鄉正東好米(2.4kg/包),149,2079.00 ,皇家榖堡,21.0 ,3.0 ,33.0 ,米,素食,2400,45_B1-36《皇家榖堡》東鄉正東好米(2.4kg/包)_149_2079_米
46,B1-37,《皇家榖堡》東鄉縱谷米(2.4kg/包),149,2079.00 ,皇家榖堡,21.0 ,3.0 ,33.0 ,米,素食,2400,46_B1-37《皇家榖堡》東鄉縱谷米(2.4kg/包)_149_2079_米
47,B1-38,《皇家榖堡》貴族精米(2.7kg/包 CNS三等米),329,2772.00 ,皇家榖堡,21.0 ,4.0 ,33.0 ,米,素食,2700,47_B1-38《皇家榖堡》貴族精米(2.7kg/包 CNS三等米)_329_2772_米
48,B1-39,《富豐》香米(1.8kg/包),159,1566.00 ,富豐,18.0 ,3.0 ,29.0 ,米,素食,1800,48_B1-39《富豐》香米(1.8kg/包)_159_1566_米
49,B1-40,《銀川》有機白米(1.5kg/包),219,1900.00 ,銀川,19.0 ,4.0 ,25.0 ,米,素食,1500,49_B1-40《銀川》有機白米(1.5kg/包)_219_1900_米
50,B1-41,《巧婦》新鮮米(3kg/包),169,2772.00 ,巧婦,21.0 ,4.0 ,33.0 ,米,素食,3000,50_B1-41《巧婦》新鮮米(3kg/包)_169_2772_米
51,B1-42,《巧婦》長鮮米(3kg/包),189,2772.00 ,巧婦,21.0 ,4.0 ,33.0 ,米,素食,3000,51_B1-42《巧婦》長鮮米(3kg/包)_189_2772_米
52,B1-43,《三好》十六穀米(1.2kg/包),135,1155.00 ,三好,11.0 ,7.0 ,15.0 ,米,素食,1200,52_B1-43《三好》十六穀米(1.2kg/包)_135_1155_米
53,B1-44,《三好》秋收免浸糙米(1.5kg/包),84,1620.00 ,三好,30.0 ,3.0 ,18.0 ,米,素食,1500,53_B1-44《三好》秋收免浸糙米(1.5kg/包)_84_1620_米
54,B1-45,《三好》鴨田長秈糙米(1.5kg/包),152,1890.00 ,三好,15.0 ,6.0 ,21.0 ,米,素食,1500,54_B1-45《三好》鴨田長秈糙米(1.5kg/包)_152_1890_米
55,B1-46,《三好》鴨田胚芽糙米(1.5kg/包),165,1890.00 ,三好,15.0 ,6.0 ,21.0 ,米,素食,1500,55_B1-46《三好》鴨田胚芽糙米(1.5kg/包)_165_1890_米
56,B1-47,《三好》養生五穀米(1.8kg/包),145,1890.00 ,三好,15.0 ,6.0 ,21.0 ,米,素食,1800,56_B1-47《三好》養生五穀米(1.8kg/包)_145_1890_米
57,B1-48,《三好》台梗九號免浸糙米(2kg/包),129,2160.00 ,三好,15.0 ,9.0 ,16.0 ,米,素食,2000,57_B1-48《三好》台梗九號免浸糙米(2kg/包)_129_2160_米
58,B1-49,《三好》長秈糙米(3kg/包),169,2754.00 ,三好,17.0 ,6.0 ,27.0 ,米,素食,3000,58_B1-49《三好》長秈糙米(3kg/包)_169_2754_米
59,B1-50,《三好》胚芽糙米(3kg/包),169,2754.00 ,三好,17.0 ,6.0 ,27.0 ,米,素食,3000,59_B1-50《三好》胚芽糙米(3kg/包)_169_2754_米
60,B1-51,《天生好米》胚芽糙米(1.5kg/包),99,2025.00 ,天生好米,15.0 ,5.0 ,27.0 ,米,素食,1500,60_B1-51《天生好米》胚芽糙米(1.5kg/包)_99_2025_米
61,B1-52,《天生好米》鮮活糙米(1.5kg/包),129,1458.00 ,天生好米,18.0 ,3.0 ,27.0 ,米,素食,1500,61_B1-52《天生好米》鮮活糙米(1.5kg/包)_129_1458_米
62,B1-53,《天生好米》月之糙米(1.8kg/包),99,1596.00 ,天生好米,19.0 ,3.0 ,28.0 ,米,素食,1800,62_B1-53《天生好米》月之糙米(1.8kg/包)_99_1596_米
63,B1-54,《天生好米》養生糙米(2kg/包),149,2250.00 ,天生好米,15.0 ,5.0 ,30.0 ,米,素食,2000,63_B1-54《天生好米》養生糙米(2kg/包)_149_2250_米
64,B1-55,《關山農會》關山糙米(2kg/包),165,2320.00 ,關山農會,20.0 ,4.0 ,29.0 ,米,素食,2000,64_B1-55《關山農會》關山糙米(2kg/包)_165_2320_米
65,B1-56,《關山農會》關山胚芽米(2kg/包),170,1740.00 ,關山農會,20.0 ,3.0 ,29.0 ,米,素食,2000,65_B1-56《關山農會》關山胚芽米(2kg/包)_170_1740_米
66,B1-57,《中興》鍾愛一生養生十穀米(1.2kg/包),139,1408.00 ,中興,8.0 ,11.0 ,16.0 ,米,素食,1200,66_B1-57《中興》鍾愛一生養生十穀米(1.2kg/包)_139_1408_米
67,B1-58,《中興》鴨禾糙米(1.5kg/包),145,1530.00 ,中興,17.0 ,6.0 ,15.0 ,米,素食,1500,67_B1-58《中興》鴨禾糙米(1.5kg/包)_145_1530_米
68,B1-59,《中興》糙米(2kg/包),99,2079.00 ,中興,21.0 ,3.0 ,33.0 ,米,素食,2000,68_B1-59《中興》糙米(2kg/包)_99_2079_米
69,B1-60,《中興》胚芽米(2kg),89,1783.50 ,中興,20.5 ,3.0 ,29.0 ,米,素食,2000,69_B1-60《中興》胚芽米(2kg)_89_1783.5_米
70,B1-61,《銀川》有機糙米(1.5kg/包),223,1900.00 ,銀川,19.0 ,4.0 ,25.0 ,米,素食,1500,70_B1-61《銀川》有機糙米(1.5kg/包)_223_1900_米
71,B1-62,《皇家榖堡》糙米(1.5kg/包),129,2070.00 ,皇家榖堡,23.0 ,3.0 ,30.0 ,米,素食,1500,71_B1-62《皇家榖堡》糙米(1.5kg/包)_129_2070_米
72,B1-63,《皇家榖堡》胚芽糙米(2.5kg/包),128,1600.00 ,皇家榖堡,16.0 ,5.0 ,20.0 ,米,素食,2500,72_B1-63《皇家榖堡》胚芽糙米(2.5kg/包)_128_1600_米
73,B1-64,《皇家榖堡》糙米(2.5kg/包),149,1600.00 ,皇家榖堡,16.0 ,5.0 ,20.0 ,米,素食,2500,73_B1-64《皇家榖堡》糙米(2.5kg/包)_149_1600_米
74,C1-1,《丸莊》松級蔭油(500ml/瓶),105,990.00 ,丸莊,6.0 ,6.0 ,27.5 ,醬油,素食,908,74_C1-1《丸莊》松級蔭油(500ml/瓶)_105_990_醬油
75,C1-2,《丸莊》極品黑豆蔭油清(300ml/瓶),79,648.00 ,丸莊,6.0 ,6.0 ,18.0 ,醬油,素食,612,75_C1-2《丸莊》極品黑豆蔭油清(300ml/瓶)_79_648_醬油
76,C1-3,《丸莊》極品蔭油膏(350g/瓶),79,648.00 ,丸莊,6.0 ,6.0 ,18.0 ,醬油,素食,350,76_C1-3《丸莊》極品蔭油膏(350g/瓶)_79_648_醬油
